Business Name,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Restitution,Business Building,Business Street,Building Address Unit,Business City,Business State,Business Zip,Complainant Zip 
LEGION X INC.,Tow Truck Company - 124,Billing Dispute - B02,03/23/2016,04/15/2016,Cash Amount - AMT,Yes,707.00,1704,E TREMONT AVE,APT 32,BRONX,NY,10451,10036
WBAI PACIFICA RADIO 99.5 FM,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,09/28/2015,10/19/2015,Unable to Locate Business - ULV,NA,0.00,388,ATLANTIC AVE,,BROOKLYN,NY,11217,10452
34TH ST. CAMERA & COMPUTERS INC.,Electronic Store - 001,Surcharge/Overcharge - S02,03/30/2016,04/28/2016,Resolved and Consumer Satisfied - SPF,Yes,0.00,460,7TH AVE,STORE B,NEW YORK,NY,10123,11355
MAGAZINE SERVICES,Mailorder Misc - 319,Non-Delivery of Goods - N01,02/02/2015,04/17/2015,No Business Response - NVR,No,0.00,P O,,,FORT LAUDERDALE,FL,33310,13403
TG AUTO SERVICE CENTER LLC,Secondhand Dealer Auto - 005,Defective Goods - D02,08/07/2015,09/28/2015,Goods Repaired - GRS,Yes,0.00,1068,60TH ST,,BROOKLYN,NY,11219,11228
1404 WIRELESS CORP.,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,08/13/2015,09/18/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,1404A,FOREST AVE,,STATEN ISLAND,NY,10302,10310
MOTORCARS LTD.,Secondhand Dealer Auto - 005,Refund Policy - R01,09/24/2015,11/20/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,2291,MCDONALD AVE,,BROOKLYN,NY,11223,33414
HUFFMAN-KOOS ELMHURST,Furniture Sales - 242,Damaged Goods - D01,02/10/2016,04/04/2016,Consumer Took Action - CTA,No,0.00,8646,QUEENS BLVD,,ELMHURST,NY,11373,11378
AMINACH USA FURNITURE,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,07/14/2015,08/19/2015,Advised to Sue - ATS,No,0.00,2252,E 17TH ST,,BROOKLYN,NY,11229,11223
"EXCURSIONES PIMENTEL, S.A.",Travel Agency - 440,Exchange Goods/Contract Cancelled - E01,02/03/2015,04/02/2015,Advised to Sue - ATS,No,0.00,PO BOX,,,NEW YORK,NY,10040,11208
AAA ROOFING & CONSTRUCTION,Home Improvement Contractor - 100,Quality of Work - Q01,02/02/2016,03/17/2016,Advised to Sue - ATS,No,0.00,2178,BAY RIDGE AVE,,BROOKLYN,NY,11204,11218
ATP SERVICES INC.,Home Improvement Contractor - 100,Quality of Work - Q01,12/11/2014,02/02/2015,Resolved and Consumer Satisfied - SPF,Yes,3900.00,2729,W 16TH ST,,BROOKLYN,NY,11224,11209
LASCELLES STEEL FABRICATION,Home Improvement Contractor - 100,Non-Delivery of Service - N02,10/16/2015,12/17/2015,Resolved and Consumer Satisfied - SPF,Yes,0.00,998,ROGERS AVE,,BROOKLYN,NY,11226,11234
"LUIGI MASONRY WORKS & HOME IMPROVEMENT, INC",Home Improvement Contractor - 100,Quality of Work - Q01,05/05/2015,06/25/2015,Goods Repaired - GRS,Yes,5500.00,9071,198TH ST,,HOLLIS,NY,11423,11354
THOMAS NOUBISSI,Home Improvement Contractor - 100,Non-Delivery of Service - N02,12/18/2015,02/11/2016,Cash Amount - AMT,Yes,1525.00,72,N 15TH ST,,BROOKLYN,NY,11222,11222
"BEST BUY STORES, L.P.",Electronic Store - 001,Defective Goods - D02,08/20/2015,10/02/2015,Consumer Took Action - CTA,No,0.00,2200,CABOT DR,STE 200,LISLE,IL,60532,10017
DEALS STORE # 4316,Misc Non-Food Retail - 817,Defective Goods - D02,10/02/2015,10/05/2015,Store Credit - SCR,Yes,6.00,28,W 116TH ST,,NEW YORK,NY,10026,10035
